Date,value,Model_fit,Test_Predictions,mae_base_test,mape_base_test,mae_train_base,mape_train_base
2010-3,81.485,0.0,,3.266160979173795,0.04188780910494876,4.202477942697372,0.06738732574739013
2010-4,84.29285714285714,81.48572077132746,,,,,
2010-5,73.7435,85.03023188871737,,,,,
2010-6,75.3359090909091,70.22480824089317,,,,,
2010-7,76.31952380952382,76.68230558436049,,,,,
2010-8,76.59909090909092,77.98595347199466,,,,,
2010-9,75.24190476190476,75.35287099110357,,,,,
2010-10,81.89285714285714,74.41561571378871,,,,,
2010-11,84.25285714285714,84.81658830324746,,,,,
2010-12,89.14590909090909,84.45047709045542,,,,,
2011-1,89.1705,88.98987314384235,,,,,
2011-2,88.57842105263158,89.24321472283027,,,,,
2011-3,102.85652173913043,88.46103616465318,,,,,
2011-4,109.5325,107.07337697866826,,,,,
2011-5,100.90047619047618,110.32229541981371,,,,,
2011-6,96.26409090909091,95.91818434342329,,,,,
2011-7,97.3035,96.13413894464371,,,,,
2011-8,86.33304347826088,100.25351620902795,,,,,
2011-9,85.51523809523809,82.07095875846322,,,,,
2011-10,86.32238095238095,85.01724603923611,,,,,
2011-11,97.16047619047619,89.04161318544467,,,,,
2011-12,98.56285714285715,99.63454301086418,,,,,
2012-1,100.2735,96.82784926056847,,,,,
2012-2,102.204,100.12355584440073,,,,,
2012-3,106.15772727272729,103.81352426925004,,,,,
2012-4,103.321,106.84934420226766,,,,,
2012-5,94.65454545454546,101.4413268254304,,,,,
2012-6,82.30333333333333,92.35436998833842,,,,,
2012-7,87.8952380952381,80.32797418615341,,,,,
2012-8,94.13130434782609,91.2497490907166,,,,,
2012-9,94.51368421052632,95.91872485572968,,,,,
2012-10,89.4913043478261,92.28175309728341,,,,,
2012-11,86.53142857142858,87.88384117374764,,,,,
2012-12,87.8595,87.35238058551931,,,,,
2013-1,94.75666666666667,88.74585778792542,,,,,
2013-2,95.30894736842104,96.05065446048857,,,,,
2013-3,92.9385,94.66761330937445,,,,,
2013-4,92.02136363636363,91.78921091934701,,,,,
2013-5,94.50954545454546,92.47427262368676,,,,,
2013-6,95.77250000000001,95.67745879043343,,,,,
2013-7,104.67090909090908,95.51994881565818,,,,,
2013-8,106.57272727272726,106.79600749396914,,,,,
2013-9,106.2895,106.6832893062272,,,,,
2013-10,100.53826086956522,105.05608487612496,,,,,
2013-11,93.864,99.23336154706159,,,,,
2013-12,97.6252380952381,92.9127449979273,,,,,
2014-1,94.61714285714285,99.64671238887729,,,,,
2014-2,100.81736842105263,93.57109776583154,,,,,
2014-3,100.80380952380953,101.87841188188973,,,,,
2014-4,102.06904761904761,101.11454633655471,,,,,
2014-5,102.17714285714285,101.75066792858429,,,,,
2014-6,105.7942857142857,102.1902435759789,,,,,
2014-7,103.58863636363638,107.03528147203906,,,,,
2014-8,96.53619047619047,102.54718733434069,,,,,
2014-9,93.21190476190476,94.11521192107396,,,,,
2014-10,84.39695652173914,93.5372690174582,,,,,
2014-11,75.78947368421052,82.90028061722538,,,,,
2014-12,59.29045454545455,73.42010744819652,,,,,
2015-1,47.219,55.9070228014104,,,,,
2015-2,50.58421052631579,45.81466159812933,,,,,
2015-3,47.82363636363636,53.65908310081994,,,,,
2015-4,54.45285714285714,46.6909490704241,,,,,
2015-5,59.265,55.10783607293839,,,,,
2015-6,59.819545454545455,61.214031896992,,,,,
2015-7,50.90090909090909,59.008679882308506,,,,,
2015-8,42.86761904761905,47.52187866639996,,,,,
2015-9,45.47952380952381,41.990454583958815,,,,,
2015-10,46.22363636363636,48.22608175094786,,,,,
2015-11,42.4435,45.948039443023816,,,,,
2015-12,37.18863636363636,39.95582152971238,,,,,
2016-1,31.683157894736844,36.62948060572679,,,,,
2016-2,30.323,31.489447103604707,,,,,
2016-3,37.54636363636364,30.166577441129533,,,,,
2016-4,40.7552380952381,39.8162322131534,,,,,
2016-5,46.712380952380954,41.10648023394208,,,,,
2016-6,48.75727272727273,47.1878409067139,,,,,
2016-7,44.6515,49.133826485506255,,,,,
2016-8,44.72434782608696,43.0849057534444,,,,,
2016-9,45.18238095238095,45.03407729104436,,,,,
2016-10,49.775238095238095,46.053047064533004,,,,,
2016-11,45.66095238095238,50.6498687745049,,,,,
2016-12,51.9704761904762,43.750217427342534,,,,,
2017-1,52.504,53.985278010478176,,,,,
2017-2,53.46842105263158,53.08949739685394,,,,,
2017-3,49.32782608695652,52.45310920570468,,,,,
2017-4,51.060526315789474,48.189412037998366,,,,,
2017-5,48.47636363636364,52.45474330124926,,,,,
2017-6,45.177727272727275,47.8454275503893,,,,,
2017-7,46.630526315789474,43.621313890098456,,,,,
2017-8,48.03695652173913,47.91053301825985,,,,,
2017-9,49.822,48.85033630491391,,,,,
2017-10,51.57772727272727,49.383106169985474,,,,,
2017-11,56.63857142857143,51.86344403452814,,,,,
2017-12,57.8815,58.30862166771336,,,,,
2018-1,63.698571428571434,57.58556967613886,,,,,
2018-2,62.22947368421052,64.65504890240989,,,,,
2018-3,62.724761904761905,61.73272219211973,,,,,
2018-4,66.25380952380952,62.50465570375391,,,,,
2018-5,69.97818181818182,67.66239579680993,,,,,
2018-6,67.87333333333333,70.75334850940733,,,,,
2018-7,70.98142857142857,66.28244781679157,,,,,
2018-8,68.05565217391305,72.02972141947933,,,,,
2018-9,70.2321052631579,67.73173057439719,,,,,
2018-10,70.74869565217391,70.36035320941052,,,,,
2018-11,56.963499999999996,71.08050057015276,,,,,
2018-12,49.522777777777776,52.7009803814839,,,,,
2019-1,51.37571428571429,48.41853743232332,,,,,
