Date, Value
2011-02-04,87.8700
2011-02-07,86.3000
2011-02-08,85.8500
2011-02-09,85.5900
2011-02-10,85.4400
2011-02-11,84.3900
2011-02-14,83.6600
2011-02-15,83.1300
2011-02-16,83.8000
2011-02-17,85.0500
2011-02-18,85.0300
2011-02-22,92.6500
2011-02-23,96.0400
2011-02-24,95.8300
2011-02-25,96.5200
2011-02-28,97.1000
2011-03-01,99.6300
2011-03-02,102.2700
2011-03-03,101.9200
2011-03-04,104.3400
2011-03-07,105.3700
2011-03-08,105.0600
2011-03-09,104.3900
2011-03-10,102.7300
2011-03-11,101.1400
2011-03-14,101.2000
2011-03-15,97.2300
2011-03-16,97.9900
2011-03-17,101.4700
2011-03-18,101.0600
2011-03-21,102.3600
2011-03-22,104.5300
2011-03-23,105.2100
2011-03-24,105.0400
2011-03-25,104.8900
2011-03-28,103.5400
2011-03-29,104.3400
2011-03-30,103.8000
2011-03-31,106.1900
2011-04-01,107.5500
2011-04-04,108.1400
2011-04-05,107.8200
2011-04-06,108.3800
2011-04-07,109.8200
2011-04-08,112.2700
2011-04-11,109.5000
2011-04-12,105.7500
2011-04-13,106.6000
2011-04-14,107.7300
2011-04-15,109.1700
2011-04-18,106.7000
2011-04-19,107.1800
2011-04-20,110.8400
2011-04-21,111.7200
2011-04-25,111.6800
2011-04-26,111.7200
2011-04-27,112.3100
2011-04-28,112.3800
2011-04-29,113.3900
2011-05-02,113.0300
2011-05-03,110.6000
2011-05-04,108.7900
2011-05-05,99.8900
2011-05-06,96.8700
2011-05-09,100.3200
2011-05-10,103.3900
2011-05-11,97.8800
2011-05-12,98.5300
2011-05-13,99.2100
2011-05-16,96.9100
2011-05-17,96.4000
2011-05-18,99.5200
2011-05-19,97.9900
2011-05-20,99.1500
2011-05-23,97.0600
2011-05-24,99.1300
2011-05-25,100.7800
2011-05-26,100.1800
2011-05-27,100.5800
2011-05-31,102.7000
2011-06-01,100.3000
2011-06-02,100.4100
2011-06-03,100.2800
2011-06-06,99.0700
2011-06-07,99.1800
2011-06-08,100.7700
2011-06-09,101.9500
2011-06-10,99.3000
2011-06-13,97.2000
2011-06-14,99.3700
2011-06-15,94.8300
2011-06-16,94.9500
2011-06-17,93.0200
2011-06-20,93.2300
2011-06-21,93.7000
2011-06-22,94.9600
2011-06-23,90.7000
2011-06-24,90.8900
2011-06-27,90.6500
2011-06-28,92.9000
2011-06-29,94.8500
2011-06-30,95.3000
2011-07-01,94.8100
2011-07-05,96.9200
2011-07-06,96.6700
2011-07-07,98.7000
2011-07-08,96.2000
2011-07-11,95.1600
2011-07-12,97.4100
2011-07-13,98.0400
2011-07-14,95.7500
2011-07-15,97.2400
2011-07-18,95.9400
2011-07-19,97.4900
2011-07-20,98.1100
2011-07-21,98.9600
2011-07-22,99.5300
2011-07-25,98.9700
2011-07-26,99.6100
2011-07-27,97.4000
2011-07-28,97.4800
2011-07-29,95.6800
2011-08-01,94.9800
2011-08-02,93.7800
2011-08-03,91.8700
2011-08-04,86.7500
2011-08-05,86.8900
2011-08-08,81.2700
2011-08-09,79.3200
2011-08-10,83.0500
2011-08-11,85.4800
2011-08-12,85.1900
2011-08-15,87.8800
2011-08-16,86.6500
2011-08-17,87.5800
2011-08-18,82.3800
2011-08-19,82.3300
2011-08-22,84.4200
2011-08-23,85.3500
2011-08-24,84.9900
2011-08-25,85.1500
2011-08-26,85.3700
2011-08-29,87.2700
2011-08-30,88.9000
2011-08-31,88.8100
2011-09-01,88.9300
2011-09-02,86.4500
2011-09-06,85.9900
2011-09-07,89.3400
2011-09-08,89.0500
2011-09-09,87.2400
2011-09-12,88.1900
2011-09-13,90.2100
2011-09-14,88.9100
2011-09-15,89.4000
2011-09-16,87.9600
2011-09-19,85.7000
2011-09-20,86.9200
2011-09-21,85.7700
2011-09-22,80.2900
2011-09-23,79.5800
2011-09-26,79.9700
2011-09-27,84.1800
2011-09-28,80.9400
2011-09-29,81.8700
2011-09-30,78.9300
2011-10-03,77.3400
2011-10-04,75.4000
2011-10-05,79.4100
2011-10-06,82.3200
2011-10-07,82.7000
2011-10-10,85.1400
2011-10-11,85.5400
2011-10-12,85.3000
2011-10-13,83.9600
2011-10-14,86.8000
2011-10-17,86.3800
2011-10-18,88.3400
2011-10-19,86.1100
2011-10-20,86.0700
2011-10-21,87.1900
2011-10-24,91.1200
2011-10-25,92.9800
2011-10-26,90.2000
2011-10-27,93.9600
2011-10-28,93.3200
2011-10-31,93.1900
2011-11-01,92.1900
2011-11-02,92.5100
2011-11-03,94.0700
2011-11-04,94.2600
2011-11-07,95.5200
2011-11-08,96.8000
2011-11-09,95.7400
2011-11-10,97.7800
2011-11-11,98.9900
2011-11-14,98.1400
2011-11-15,99.3700
2011-11-16,102.5900
2011-11-17,98.8200
2011-11-18,97.6700
2011-11-21,96.7300
2011-11-22,97.7600
2011-11-23,96.1600
2011-11-25,96.9100
2011-11-28,98.2100
2011-11-29,99.7900
2011-11-30,100.3600
2011-12-01,100.2000
2011-12-02,100.9700
2011-12-05,100.9400
2011-12-06,101.2500
2011-12-07,100.4500
2011-12-08,98.3500
2011-12-09,99.4000
2011-12-12,97.7700
2011-12-13,100.2400
2011-12-14,94.9200
2011-12-15,93.8400
2011-12-16,93.5500
2011-12-19,93.8600
2011-12-20,97.1600
2011-12-21,98.5400
2011-12-22,99.4200
2011-12-23,99.7200
2011-12-27,101.2900
2011-12-28,99.4400
2011-12-29,99.6800
2011-12-30,98.8300
2012-01-03,102.9600
2012-01-04,103.2200
2012-01-05,101.8100
2012-01-06,101.5600
2012-01-09,101.3100
2012-01-10,102.2400
2012-01-11,100.8900
2012-01-12,99.0300
2012-01-13,98.6900
2012-01-17,100.7000
2012-01-18,100.6100
2012-01-19,100.3200
2012-01-20,98.1500
2012-01-23,99.4700
2012-01-24,98.8400
2012-01-25,99.2300
2012-01-26,99.7600
2012-01-27,99.4700
2012-01-30,98.7500
2012-01-31,98.4600
2012-02-01,97.6300
2012-02-02,96.3600
2012-02-03,97.8000
2012-02-06,96.8900
2012-02-07,98.5500
2012-02-08,98.8000
2012-02-09,99.8800
2012-02-10,98.6800
2012-02-13,100.3900
2012-02-14,100.8200
2012-02-15,101.8200
2012-02-16,102.3300
2012-02-17,103.2700
2012-02-21,105.8800
2012-02-22,105.9900
2012-02-23,107.4400
2012-02-24,109.3900
2012-02-27,108.4900
2012-02-28,106.5900
2012-02-29,107.0800
2012-03-01,108.7600
2012-03-02,106.6800
2012-03-05,106.7000
2012-03-06,104.7100
2012-03-07,106.1600
2012-03-08,106.6500
2012-03-09,107.4000
2012-03-12,106.3400
2012-03-13,106.7000
2012-03-14,105.4900
2012-03-15,105.1900
2012-03-16,107.0300
2012-03-19,108.0900
2012-03-20,105.6800
2012-03-21,106.8700
2012-03-22,104.9800
2012-03-23,106.4300
2012-03-26,107.0700
2012-03-27,107.3200
2012-03-28,105.4000
2012-03-29,102.7900
2012-03-30,103.0300
2012-04-02,105.2500
2012-04-03,104.0200
2012-04-04,101.5300
2012-04-05,103.2900
2012-04-09,102.4500
2012-04-10,101.1200
