'Year','Month','value','Model_fit','Test_Predictions','mae_base_test','mape_base_test','mae_train_base','mape_train_base',
2019,8,'54.80590909090909','57.795119201303265',,,,,,
2019,9,56.95,'55.328681365746064',,,,,,
2019,10,'53.96304347826087','57.39783593480902',,,,,,
2019,11,'57.048947368421054','54.51413433922229',,,,,,
2019,12,'59.81666666666667','57.49635807708551',,,,,,
2020,1,'57.519047619047626','60.171087584147955',,,,,,
2020,2,'50.5478947368421','57.95066390659119',,,,,,
2020,3,'30.483363636363638','51.213727713640665',,,,,,
2020,4,'19.6697','31.82332442605292',,,,,,
2020,5,'28.5058','21.372978097231243',,,,,,
2020,6,'38.33172727272727','29.912202942877816',,,,,,
2020,7,40.77,'39.407998859491364',,,,,,
2020,8,'42.40942857142857','41.76628334052723',,,,,,
2020,9,'39.64628571428572','43.34869761154209',,,,,,
2020,10,'39.576454545454546','40.67839078638335',,,,,,
2020,11,'41.3681','40.61090580410795',,,,,,
2020,12,'47.085272727272724','42.342355581729784',,,,,,
2021,1,'52.106842105263155','47.8674428260548',,,,,,
2021,2,'59.07094736842105','52.7202975919214',,,,,,
2021,3,'62.35956521739131','59.45042295162262',,,,,,
2021,4,'61.71561904761905','62.62854986776929',,,,,,
2021,5,'65.15259999999999','62.00623899168389',,,,,,
2021,6,'71.32163636363636','65.3277443099335',,,,,,
2021,7,'72.53763636363637','71.28951348299184',,,,,,
2021,8,'67.69281818181818','72.4646583333564',,,,,,
2021,9,'71.43072727272728','67.78261627964243',,,,,,
2021,10,'81.17133333333334','71.39493915736666',,,,,,
2021,11,'78.60542857142858','80.80828048265529',,,,,,
2021,12,'71.86858333333333','78.32858495018961',,,,,,
2022,1,82.87,'71.81808413666117',,,,,,
2022,2,'91.5232','82.45277457835459',,,,,,
2022,3,'108.07991304347827','90.81234528939362',,,,,,
2022,4,'101.84057142857144','106.81278613808368',,,,,,
2022,5,'109.00590476190476','100.78307382852527',,,,,,
2022,6,'114.02954999999999','107.7076664007392',,,,,,
2022,7,'100.83892592592592','112.56252728199415',,,,,,
2022,8,'91.57826086956523','99.81508159635035',,,,,,
2022,9,'84.04590909090909','90.86555622469474',,,,,,
2022,10,'87.05333333333334','83.58627628734108',,,,,,
2022,11,84.09,'86.49265713548778',,,,,,
2022,12,'76.84863636363637','83.62405382065872',,,,,,
2023,1,'78.31363636363636','76.63081742046298','78.05326920446468',,,,,
2023,2,76.85,'78.04659637258803','78.0551150739453',,,,,
2023,3,'78.49249999999999','78.04659637258803','76.62730323131714',,,,,
